ACC,ACCESS,ST,0,728
ACCESS,ACCESS,PT,0,956
ACCESS,ACCESS,ST,0,492
ACCESS RD,ACCESS ROAD,PT,2,493
ACCESS RD,ACCESS ROAD,ST,2,494
ACCESS ROAD,ACCESS ROAD,BT,0,973
ACCESS ROAD,ACCESS ROAD,PT,2,609
ACCESS ROAD,ACCESS ROAD,ST,2,12
ACRES,ACRES,BN,2,608
ACRES,ACRES,ST,0,849
ACRS,ACRES,BN,1,365
ACRS,ACRES,ST,0,729
ALLEE,ALLEY,ST,0,366
ALLEY,ALLEY,BN,0,954
ALLEY,ALLEY,ST,2,125
ALLEY WAY,ALLEY WAY,BT,0,958
ALLEY WAY,ALLEYWAY,ST,2,730
ALLEY WY,ALLEYWAY,ST,0,126
ALLEYWAY,ALLEYWAY,ST,0,13
ALLY,ALLEY,ST,0,731
ALT,ALTERNATE,BN,0,995
ALT,ALTERNATE,PM,1,951
ALY,ALLEY,ST,0,610
APARTMENTS,APARTMENTS,BN,2,727
APARTMENTS,APARTMENTS,ST,0,850
APPR,APPROACH,ST,0,495
APPROACH,APPROACH,ST,0,851
APTS,APARTMENTS,BN,2,490
APTS,APARTMENTS,ST,0,127
ARC,ARCADE,ST,0,128
ARCADE,ARCADE,BN,0,732
ARCADE,ARCADE,ST,0,245
ARCHWAY,ARCHWAY,BN,1,611
ARCHWAY,ARCHWAY,ST,0,852
ARTERY,ARTERY,ST,0,367
AV,AVENUE,PT,0,496
AV,AVENUE,ST,0,129
AVE,AVENUE,PT,0,247
AVE,AVENUE,ST,0,246
AVEN,AVENUE,PT,0,853
AVEN,AVENUE,ST,0,497
AVENU,AVENUE,ST,0,248
AVENUE,AVENUE,PT,0,612
AVENUE,AVENUE,ST,0,249
AVENUs,AVENUE,PT,0,498
AVN,AVENUE,PT,0,854
AVN,AVENUE,ST,0,250
AVNU,AVENUE,PT,0,499
AVNU,AVENUE,ST,0,613
AVNUE,AVENUE,PT,0,368
AVNUE,AVENUE,ST,0,855
BAY,BAY,BN,1,251
BAY,BAY,ST,0,614
BAYOO,BAYOU,ST,0,14
BAYOU,BAYOU,BN,2,1015
BAYOU,BAYOU,ST,0,615
BCH,BEACH,BN,1,15
BCH,BEACH,ST,0,856
BEA,BEACH,BN,0,1019
BEA,BEACH,ST,0,1007
BEACH,BEACH,BN,1,130
BEACH,BEACH,ST,0,477
BEND,BEND,BN,1,733
BEND,BEND,ST,0,500
BL,BOULEVARD,ST,2,1021
BLF,BLUFF,BN,1,503
BLF,BLUFF,ST,0,16
BLFS,BLUFFS,BN,1,17
BLFS,BLUFFS,ST,0,131
BLUF,BLUFF,BN,1,504
BLUF,BLUFF,ST,0,501
BLUFF,BLUFF,BN,1,858
BLUFF,BLUFF,ST,0,946
BLUFFS,BLUFFS,BN,2,857
BLUFFS,BLUFFS,ST,0,502
BLVD,BOULEVARD,ST,0,859
BND,BEND,ST,0,505
BOT,BOTTOM,ST,0,252
BOTTM,BOTTOM,ST,0,18
BOTTOM,BOTTOM,BN,2,959
BOTTOM,BOTTOM,ST,0,947
BOUL,BOULEVARD,ST,0,734
BOULEVARD,BOULEVARD,BN,2,1017
BOULEVARD,BOULEVARD,ST,0,19
BOULV,BOULEVARD,ST,0,253
BOW,BOW,BN,1,616
BR,BRANCH,ST,0,132
BRANCH,BRANCH,BN,1,254
BRANCH,BRANCH,ST,0,735
BRDGE,BRIDGE,ST,0,506
BRG,BRIDGE,ST,0,507
BRIDGE,BRIDGE,BN,1,255
BRIDGE,BRIDGE,ST,0,508
BRK,BROOK,ST,0,133
BRNCH,BRANCH,ST,0,617
BROOK,BROOK,BN,2,509
BROOK,BROOK,ST,0,510
BTM,BOTTOM,ST,0,256
BURG,BURG,ST,0,134
BURGS,BURGS,ST,0,20
BUS,BUSINESS,PM,0,952
BYP,BYPASS,PT,0,618
BYP,BYPASS,ST,0,736
BYPA,BYPASS,PT,0,511
BYPA,BYPASS,ST,1,491
BYPAS,BYPASS,PT,0,860
BYPAS,BYPASS,ST,0,479
BYPASS,BYPASS,PT,0,21
BYPASS,BYPASS,ST,0,257
BYPS,BYPASS,PT,0,737
BYPS,BYPASS,ST,0,22
BYWAY,BYWAY,ST,0,619
BYWY,BYWAY,ST,0,369
CAMP,CAMP,BN,1,512
CAMP,CAMP,ST,0,620
CANYN,CANYON,ST,0,738
CANYON,CANYON,BN,1,370
CANYON,CANYON,ST,0,513
CAPE,CAPE,BN,2,121
CAPE,CAPE,ST,0,478
CARTWAY,CARTWAY,BT,0,622
CARTWAY,CARTWAY,ST,0,621
CAUSEWAY,CAUSEWAY,BN,1,623
CAUSEWAY,CAUSEWAY,BT,0,718
CAUSEWAY,CAUSEWAY,ST,0,739
CAUSWA,CAUSEWAY,ST,0,371
CEN,CENTER,ST,0,23
CENT,CENTER,ST,0,372
CENTER,CENTER,BN,2,135
CENTER,CENTER,ST,0,836
CENTERS,CENTERS,ST,0,514
CENTR,CENTER,ST,0,258
CHAS,CHASE,ST,0,861
CHASE,CHASE,BN,2,962
CHASE,CHASE,ST,0,483
CI,CIRCLE,ST,1,1022
CIR,CIRCLE,ST,0,862
CIRC,CIRCLE,ST,0,740
CIRCL,CIRCLE,ST,0,373
CIRCLE,CIRCLE,BN,0,259
CIRCLE,CIRCLE,ST,0,24
CIRCLES,CIRCLES,ST,0,515
CIRCT,CIRCUIT,ST,0,516
CIRCUIT,CIRCUIT,BN,0,624
CIRCUIT,CIRCUIT,ST,0,374
CIRT,CIRCUIT,ST,0,375
CLB,CLUB,ST,0,25
CLF,CLIFF,ST,0,136
CLFS,CLIFFS,ST,0,741
CLIFF,CLIFF,BN,2,742
CLIFF,CLIFF,ST,0,376
CLIFFS,CLIFFS,BN,2,260
CLIFFS,CLIFFS,ST,0,377
CLOS,CLOSE,ST,0,378
CLOSE,CLOSE,ST,0,625
CLS,CLOSE,ST,0,626
CLUB,CLUB,BN,2,627
CLUB,CLUB,ST,0,743
CMN,COMMON,ST,0,517
CMNS,COMMONS,ST,0,1004
CMP,CAMP,ST,0,628
CNRS,CORNERS,ST,0,863
CNTER,CENTER,ST,0,379
CNTR,CENTER,BN,2,137
CNTR,CENTER,ST,0,26
CNYN,CANYON,ST,0,261
COL,COLONEL,BN,0,518
COL.,COLONEL,BN,0,138
COLONEL,COLONEL,BN,0,709
COM,COMMON,ST,0,380
COMMON,COMMON,BN,2,381
COMMON,COMMON,ST,0,519
COMMONS,COMMONS,BN,2,520
COMMONS,COMMONS,ST,0,139
CONN,CONNECTOR,ST,0,864
CONNECTOR,CONNECTOR,ST,0,744
COR,CORNER,ST,0,745
CORNER,CORNER,BN,1,629
CORNER,CORNER,ST,0,746
CORNERS,CORNERS,BN,1,262
CORNERS,CORNERS,ST,0,263
CORS,CORNERS,ST,0,264
COURSE,COURSE,BN,1,986
COURSE,COURSE,ST,0,1
COURT,COURT,BN,0,27
COURT,COURT,ST,1,140
COURTS,COURTS,ST,0,28
COURTYARD,COURTYARD,ST,0,141
COVE,COVE,BN,2,747
COVE,COVE,ST,0,521
COVES,COVES,BN,1,963
COVES,COVES,ST,0,748
CP,CAMP,ST,0,522
CPE,CAPE,BN,2,122
CPE,CAPE,ST,0,749
CR,CIRCLE,ST,0,602
CRCL,CIRCLE,ST,0,750
CRCLE,CIRCLE,ST,0,142
CREEK,CREEK,BN,2,631
CREEK,CREEK,ST,0,630
CRES,CRESCENT,ST,0,29
CRESCENT,CRESCENT,BN,0,30
CRESCENT,CRESCENT,ST,0,265
CREST,CREST,BN,2,241
CREST,CREST,ST,0,715
CRK,CREEK,ST,0,143
CRNS,CORNERS,ST,0,632
CRO,CROSSING,ST,0,1010
CROSSING,CROSSING,BN,1,865
CROSSING,CROSSING,ST,0,31
CROSSROAD,CROSSROAD,ST,0,32
CROSSROADS,CROSSROADS,BN,0,988
CROSSROADS,CROSSROADS,ST,2,382
CROSSWAY,CROSSWAY,ST,0,866
CRSE,COURSE,ST,0,383
CRSENT,CRESCENT,ST,0,751
CRSG,CROSSING,ST,0,867
CRSNT,CRESCENT,ST,0,523
CRSSNG,CROSSING,ST,0,144
CRST,CREST,BN,2,719
CRST,CREST,ST,0,752
CRTWY,CARTWAY,ST,0,266
CRVE,CURVE,ST,0,267
CSWY,CAUSEWAY,ST,0,33
CT,COURT,ST,0,868
CTR,CENTER,BN,2,633
CTR,CENTER,ST,0,384
CTS,COURTS,ST,0,385
CURV,CURVE,ST,0,634
CURVE,CURVE,BN,1,980
CURVE,CURVE,ST,0,236
CUTOFF,CUTOFF,PT,0,145
CUTOFF,CUTOFF,ST,0,268
CV,COVE,ST,0,269
DALE,DALE,BN,1,869
DALE,DALE,ST,0,753
DAM,DAM,BN,1,270
DAM,DAM,ST,0,524
DIV,DIVIDE,ST,0,870
DIVIDE,DIVIDE,ST,0,525
DL,DALE,ST,0,871
DM,DAM,ST,0,146
DOWNS,DOWNS,BN,2,720
DOWNS,DOWNS,ST,0,2
DR,DOCTOR,BN,0,386
DR,DRIVE,ST,0,34
DRIV,DRIVE,ST,0,35
DRIVE,DRIVE,PT,0,964
DRIVE,DRIVE,ST,1,147
DRIVES,DRIVES ,ST,0,36
DRIVES ,DRIVES ,ST,0,3
DRIVEWAY,DRIVEWAY,ST,0,526
DRV,DRIVE,ST,0,148
DRWY,DRIVEWAY,ST,0,872
DV,DIVIDE,ST,0,527
DVD,DIVIDE,ST,0,149
DWNS,DOWNS,BN,2,485
DWNS,DOWNS,ST,0,873
E,E,BN,0,150
E,EASTBOUND,HPD,0,419
E,EASTBOUND,HSD,0,410
E,EAST,PD,2,754
E,EAST,SD,2,874
E BRIDGEWATER,EAST BRIDGEWATER,BN,3,151
E BROOKFIELD,EAST BROOKFIELD,BN,3,875
E LONGMEADOW,EAST LONGMEADOW,BN,3,271
EAS,EAST,SD,2,1012
EAST,EAST,BN,0,387
EAST,EASTBOUND,HPD,0,675
EAST,EASTBOUND,HSD,0,82
EAST,EAST,PD,1,272
EAST,EAST,SD,1,152
EAST BRIDGEWATER,EAST BRIDGEWATER,BN,3,37
EAST BROOKFIELD,EAST BROOKFIELD,BN,3,755
EAST LONGMEADOW,EAST LONGMEADOW,BN,3,756
EDGE,EDGE,BN,2,758
EDGE,EDGE,ST,0,757
END,END,BN,2,388
END,END,ST,0,389
EST,ESTATE,ST,0,876
ESTATE,ESTATE,BN,2,759
ESTATE,ESTATE,ST,0,38
ESTATES,ESTATES,BN,2,760
ESTATES,ESTATES,ST,0,39
ESTE,ESTATE,ST,0,877
ESTS,ESTATES,ST,0,40
EX,EXTENSION,ST,2,1318
EXD,EXTENDED,PM,0,1323
EXN,EXTENSION,ST,0,1001
EXP,EXPRESSWAY,ST,0,153
EXPR,EXPRESSWAY,ST,0,41
EXPRESS,EXPRESS,BN,0,981
EXPRESS,EXPRESSWAY,ST,2,154
EXPRESSWAY,EXPRESSWAY,ST,0,878
EXPW,EXPRESSWAY,ST,0,761
EXPY,EXPRESSWAY,ST,0,879
EXT,EXTENSION,ST,0,155
EXTD,EXTENDED,PM,0,950
EXTENSION,EXTENSION,BN,0,982
EXTENSION,EXTENSION,ST,2,156
EXTENSIONS,EXTENSIONS,ST,0,712
EXTN,EXTENSION,ST,0,42
EXTNSN,EXTENSION,ST,0,273
EXTS,EXTENSIONS,ST,0,157
FALLS,FALLS,BN,2,486
FALLS,FALLS,ST,0,239
FARM,FARM,BN,1,635
FARM,FARM,ST,0,43
FARMS,FARMS,BN,2,158
FARMS,FARMS,ST,0,274
FERRY,FERRY,BN,2,762
FERRY,FERRY,ST,0,636
FIELD,FIELD,BN,1,528
FIELD,FIELD,ST,0,275
FIELDS,FIELDS,BN,2,276
FIELDS,FIELDS,ST,0,637
FIRE RD,FIRE ROAD,PT,0,880
FIRE ROAD,FIRE ROAD,PT,0,881
FLD,FIELD,ST,0,44
FLDS,FIELDS,ST,0,638
FLS,FALLS,BN,2,845
FLS,FALLS,ST,0,45
FORD,FORD,BN,1,390
FORD,FORD,ST,0,763
FORDS,FORDS,BN,1,989
FORDS,FORDS,ST,0,639
FOREST,FOREST,BN,2,359
FOREST,FOREST,ST,0,356
FORESTS,FORESTS,BN,2,721
FORESTS,FORESTS,ST,0,529
FORGE,FORGE,BN,2,11
FORGE,FORGE,ST,0,484
FORK,FORK,BN,1,640
FORK,FORK,ST,0,641
FORKS,FORKS,ST,0,159
FORT,FORT,BN,2,531
FORT,FORT,ST,0,530
FRD,FORD,ST,0,46
FREEWAY,FREEWAY,BN,0,983
FREEWAY,FREEWAY,ST,1,642
FREEWY,FREEWAY,ST,0,532
FRG,FORGE,BN,2,605
FRG,FORGE,ST,0,47
FRK,FORK,ST,0,277
FRKS,FORKS,ST,0,391
FRNT,FRONT,ST,0,643
FRONT,FRONT,BN,2,965
FRONT,FRONT,ST,0,237
FRRY,FERRY,ST,0,644
FRST,FOREST,ST,0,533
FRT,FORT,ST,0,645
FRWAY,FREEWAY,ST,0,160
FRWY,FREEWAY,ST,0,161
FRY,FERRY,ST,0,392
FT,FORT,ST,0,882
FWY,FREEWAY,ST,0,48
GARDEN,GARDEN,BN,2,722
GARDEN,GARDEN,ST,0,844
GARDENS,GARDENS,BN,2,362
GARDENS,GARDENS,ST,0,883
GARDN,GARDEN,BN,2,723
GARDN,GARDEN,ST,0,646
GATEWAY,GATEWAY,BN,2,974
GATEWAY,GATEWAY,ST,0,119
GATEWY,GATEWAY,ST,0,393
GATWAY,GATEWAY,ST,0,884
GD,GARDENS,ST,0,1320
GDN,GARDEN,BN,2,123
GDN,GARDEN,ST,0,49
GDNS,GARDENS,BN,2,124
GDNS,GARDENS,ST,0,50
GEN,GENERAL,BN,0,944
GENERAL,GENERAL,BN,2,113
GLAD,GLADE,ST,0,278
GLADE,GLADE,BN,2,162
GLADE,GLADE,ST,0,534
GLEN,GLEN,BN,2,764
GLEN,GLEN,ST,0,279
GLENS,GLENS,ST,0,885
GLN,GLEN,ST,0,51
GRDEN,GARDEN,BN,2,360
GRDEN,GARDEN,ST,0,535
GRDN,GARDEN,BN,2,361
GRDN,GARDEN,ST,0,394
GRDNS,GARDENS,BN,2,846
GRDNS,GARDENS,ST,0,52
GRE,GREEN,ST,1,1011
GREEN,GREEN,BN,2,280
GREEN,GREEN,ST,0,395
GREENE,GREENE,BN,2,886
GREENE,GREENE,ST,0,281
GREENS,GREENS,ST,0,282
GRN,GREEN,ST,0,396
GROV,GROVE,ST,0,765
GROVE,GROVE,BN,2,766
GROVE,GROVE,ST,0,397
GROVES,GROVES,ST,0,163
GRV,GROVE,ST,0,647
GTWAY,GATEWAY,ST,0,767
GTWY,GATEWAY,ST,0,398
HARB,HARBOR,ST,0,536
HARBOR,HARBOR,BN,2,7
HARBOR,HARBOR,ST,0,4
HARBORS,HARBORS,ST,0,283
HARBR,HARBOR,ST,0,768
HAVEN,HAVEN,BN,2,284
HAVEN,HAVEN,ST,0,887
HAYWAY,HAYWAY,BT,1,994
HAYWAY,HAYWAY,ST,0,164
HBR,HARBOR,ST,0,888
HEATH,HEATH,BN,1,979
HEATH,HEATH,ST,0,713
HEIGHTS,HEIGHTS,BN,2,165
HEIGHTS,HEIGHTS,ST,0,889
HGTS,HEIGHTS,ST,1,1023
HI,HILL,ST,0,1319
HIGHLANDS,HIGHLANDS,ST,0,166
HIGHWAY,HIGHWAY,HST,0,648
HIGHWY,HIGHWAY,HST,0,890
HILL,HILL,BN,2,769
HILL,HILL,ST,0,285
HILLS,HILLS,BN,2,960
HILLS,HILLS,ST,0,840
HILLWAY,HILLWAY,ST,0,770
HILN,HIGHLANDS,ST,0,649
HIWAY,HIGHWAY,HST,0,891
HIWY,HIGHWAY,HST,0,53
HL,HILL,BN,2,399
HL,HILL,ST,0,54
HLLW,HOLLOW,ST,0,537
HLS,HILLS,ST,0,538
HOLLOW,HOLLOW,BN,2,539
HOLLOW,HOLLOW,ST,0,892
HOLLOWS,HOLLOW,ST,0,400
HOLW,HOLLOW,ST,0,650
HOLWS,HOLLOW,ST,0,540
HOV LANE,HOV LANE,ST,0,401
HRBOR,HARBOR,ST,0,167
HT,HEIGHTS,ST,0,402
HTH,HEATH,ST,0,168
HTS,HEIGHTS,ST,0,651
HVN,HAVEN,ST,0,286
HWAY,HIGHWAY,HST,0,893
HWY,HIGHWAY,HST,0,541
HY,HIGHWAY,ST,0,1316
I,I,BN,0,403
I,INTERSTATE,HPT,0,287
INLET,INLET,BN,1,975
INLET,INLET,ST,0,120
INLT,INLET,ST,0,288
INTERSTATE,INTERSTATE,HPT,0,894
IS,ISLAND,ST,0,652
ISLAND,ISLAND,BN,2,289
ISLAND,ISLAND,ST,0,542
ISLANDS,ISLANDS,ST,0,169
ISLE,ISLE,BN,2,170
ISLE,ISLE,ST,0,404
ISLES,ISLE,ST,0,55
ISLND,ISLAND,ST,0,405
ISLNDS,ISLANDS,ST,0,290
ISS,ISLANDS,ST,0,543
JCT,JUNCTION,ST,0,56
JCTION,JUNCTION,ST,0,653
JCTN,JUNCTION,ST,0,771
JCTNS,JUNCTIONS,ST,0,895
JCTS,JUNCTIONS,ST,0,291
JUNCTION,JUNCTION,BN,0,544
JUNCTION,JUNCTION,ST,0,171
JUNCTIONS,JUNCTIONS,ST,0,545
JUNCTN,JUNCTION,ST,0,406
JUNCTON,JUNCTION,ST,0,546
KNL,KNOLL,ST,0,292
KNLS,KNOLLS,ST,0,654
KNOL,KNOLL,ST,0,172
KNOLL,KNOLL,BN,2,724
KNOLL,KNOLL,ST,0,5
KNOLLS,KNOLLS,BN,2,655
KNOLLS,KNOLLS,ST,0,173
LA,LANE,PT,0,293
LA,LANE,ST,0,656
LAKE,LAKE,BN,2,174
LAKE,LAKE,ST,0,547
LAKES,LAKES,ST,0,175
LANDING,LANDING,BN,2,176
LANDING,LANDING,ST,0,407
LANE,LANE,BN,1,177
LANE,LANE,PT,0,772
LANE,LANE,ST,2,57
LCK,LOCK,ST,0,548
LCKS,LOCKS,ST,0,773
LDG,LODGE,ST,0,549
LDGE,LODGE,ST,0,294
LF,LOAF,ST,0,178
LGT,LIGHT,ST,0,896
LIEUTENANT,LIEUTENANT,BN,2,114
LIGHT,LIGHT,BN,2,295
LIGHT,LIGHT,ST,0,897
LIGHTS,LIGHTS,ST,0,550
LK,LAKE,ST,0,408
LKOT,LOOKOUT,ST,0,409
LKS,LAKES,ST,0,551
LN,LANE,ST,0,58
LNDG,LANDING,ST,0,296
LNDNG,LANDING,ST,0,59
LOAF,LOAF,ST,0,411
LOCK,LOCK,ST,0,898
LOCKS,LOCKS,BN,2,606
LOCKS,LOCKS,ST,0,60
LODG,LODGE,ST,0,774
LODGE,LODGE,BN,2,775
LODGE,LODGE,ST,0,297
LOOKOUT,LOOKOUT,BN,2,61
LOOKOUT,LOOKOUT,ST,0,552
LOOP,LOOP,BN,0,179
LOOP,LOOP,ST,0,899
LOOPS,LOOP,ST,0,553
LOWER,LOWER,BN,2,554
LOWER,LOWER,PM,0,776
LP,LOOP,ST,0,180
LT,LIEUTENANT,BN,0,298
LT.,LIEUTENANT,BN,0,412
MA,MASSACHUSETTS,BN,0,181
MALL,MALL,BN,2,182
MALL,MALL,ST,0,900
MANOR,MANOR,BN,2,607
MANOR,MANOR,ST,0,357
